name,type,full_text,url,source
Adaptive Magic,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (arcana) and Use Magic Device checks, Use Magic Device is a class skill for you.",http://www.d20pfsrd.com/traits/campaign-traits/reign-of-winter/adaptive-magic/,ROW
Against the League,Campaign Trait,"Choose either weapons or spells. If you choose weapons, you gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on all damage rolls made against targets you know are associated with the League. If you choose spells, increase the save DC of your spells by 1 when you target such a foe.",http://www.d20pfsrd.com/traits/campaign-traits/shattered-star/against-the-league/,STR
Alabaster Outcast,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/diplomacy"">Diplomacy</a> and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/intimidate"">Intimidate</a> checks made within the city. <p class=""description""> Additionally, you start play with a noble's outfit, a signet ring, and a single additional non-magical item worth no more than 200 gp.</p>",http://www.d20pfsrd.com/traits/campaign-traits/shattered-star/alabaster-outcast/,STR
Ancient Explorer,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (history) and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (local) checks, and one of these skills is a class skill for you. In addition, you gain Cyclops or Polyglot as a bonus language.",http://www.d20pfsrd.com/traits/campaign-traits/skull-shackles/ancient-explorer/,SAS
Barroom Talespinner,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/diplomacy"">Diplomacy</a> checks and one category of <a target=""_top"" href=""http://www.d20pfsrd.com/skills/perform"">Perform</a> checks, and one of these skills is a class skill for you. In addition, once per week you can make a DC 15 <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (local) or <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Intelligence-Int-"">Intelligence</a> check to see if you know a popular legendary pirate tale, the telling of which grants you a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on checks made to influence NPCs on the ship.",http://www.d20pfsrd.com/traits/campaign-traits/skull-shackles/barroom-talespinner/,SAS
Bastard,Campaign Trait,"You take a –1 penalty on all <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Charisma-Cha-"">Charisma</a>-based skill checks made when dealing with members of nobility but gain a +1 trait bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Will"">Will</a> saves as a result of your stubbornness and individuality. (The penalty aspect of this trait is removed if you ever manage to establish yourself as a true noble.)",http://www.d20pfsrd.com/traits/campaign-traits/kingmaker/bastard/,KNG
Best Friend,Campaign Trait,"An NPC Benefit : You and the chosen NPC are best friends. You gain a +1 trait bonus on all <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a> against foes that threaten your friend as well as one of the following (depending on the NPC chosen, consult your GM for specifics): <p style=""margin-left:40px"">A +2 trait bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/diplomacy"">Diplomacy</a> checks. </p><p style=""margin-left:40px"">A +2 trait bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/bluff"">Bluff</a> checks. Whichever skill you gain a trait bonus on, that skill is always considered a class skill for you.</p>",http://www.d20pfsrd.com/traits/campaign-traits/jade-regent-traits/best-friend/,JRG
Black Sheep,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (local) checks, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (local) is a class skill for you. In addition, you can choose any one notorious citizen from below as an ally; depending on the person you pick, you’ll get different benefits.",http://www.d20pfsrd.com/traits/campaign-traits/rise-of-the-runelords/black-sheep/,RRL
Blood of Pharaohs,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Will"">Will</a> saves. You also gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (nobility) checks and that skill is always a class skill for you. In addition, you may choose an ancient language as one of your bonus languages.",http://www.d20pfsrd.com/traits/campaign-traits/mummy-s-mask/blood-of-pharaohs/,MUM
Boarded (D),Campaign Trait,"Traveling from lands far to the north, you likely have little experience with the jungle, its denizens, or its strange forces. Just as the lands are wild and exotic to you, so are you to them. This unusualness manifests in one of two ways. Choose to gain either a +2 trait bonus on all Bluff checks made against inhabitants of the jungle, or treat your spells with the mind-affecting descriptor as being +1 caster level higher when cast against creatures and natives of the jungle.",http://www.d20pfsrd.com/traits/campaign-traits/serpent-s-skull/boarded-in-varisia/,SKL
